IlmnID,arms,ccsk,erms,ews,mrt,nbl,normal,os,wbc,wt
cg2642,0.059812266666666676,0.029988856666666664,0.057324663333333324,0.048739313333333326,0.056458912666666666,0.04162177397048858,0.0,0.021967278228023746,0.0577799035920872,0.03701638333333333
cg2643,0.044297289,0.0270747959,0.0409822099,0.0428653673,0.04142122405555555,0.036799370346472335,0.0,0.015684753765751906,0.048085835152238715,0.0336640052
cg2644,0.0732936075,0.026807997000000004,0.0667194865,0.05336492016666667,0.08731885775,0.03454216014778154,0.0,0.01920066505671976,0.052391985255819166,0.03687037
cg2645,0.10200506333333333,0.08895437333333334,0.13040411666666665,0.10048970616707095,0.116231012,0.07161567103297033,0.013333333333333334,0.046835228087294636,0.15554679562857135,0.09510990333333333
cg2646,0.08354385,0.0574237625,0.08094130124999999,0.08057854875,0.04750415728571429,0.06060694541324529,0.0,0.0427207284978971,0.08561759469956802,0.0660519525
cg2647,0.041246184,0.028503182000000002,0.038925016199999996,0.0361942089,0.034355440875,0.02415769025595251,0.0,0.017022165743917073,0.04317613490078912,0.028901758
cg2648,0.22472835333333327,0.15107648333333334,0.2084963833333333,0.20199664666666667,0.1898108686666667,0.18994579355705954,0.0,0.12072887328000759,0.192182240193898,0.15943115333333333
cg2649,0.4620588333333333,0.8399629333333333,0.6525633833333333,0.8468505314311721,0.8099023698333333,0.8877281438252116,0.9377157753822307,0.7707259051743218,0.8997897305360195,0.6785694333333333
cg2650,0.682512875,0.7491391999999999,0.7792121249999999,0.8107250375,0.7449635130000001,0.8123051290599366,0.9296992481203008,0.6915922835549376,0.8726726977576419,0.8138375
cg2651,0.071546635,0.09867058166666667,0.06696242833333332,0.0769919975,0.06177389100000001,0.0803649267526199,0.00990706000637583,0.033464076287301456,0.10296186988164058,0.05948639
cg2652,0.09920569,0.09954315571428572,0.10068121285714285,0.07454825132969413,0.09568684899999999,0.060867293091859495,0.0,0.027680405679833014,0.07062466234478243,0.06670926142857142
cg2653,0.0639532425,0.03388793625,0.05633648375,0.0537962930625,0.08643091756249999,0.05034061744778809,0.0,0.0346995939891025,0.06193465601223204,0.04124968125
cg2654,0.036018384,0.0239987225,0.032947752,0.029301331660100814,0.022047252500000003,0.02522163422359725,0.0,0.020783151557166802,0.0412164869350423,0.023474633999999998
cg2655,0.06072222250000001,0.13803194000000002,0.0554906525,0.052061598875000004,0.09086093399999999,0.034179543880553095,0.0,0.029981579029669806,0.055060972349130016,0.06060255
cg2656,0.08096531545454545,0.05020153727272727,0.07730006409090909,0.07344558818181819,0.07940198922727273,0.05020394795218173,0.0,0.02712867894802882,0.06870190993661728,0.0570351909090909
cg2657,0.3176460545454545,0.06391799518181818,0.4691673045454545,0.05673836045454546,0.06923575540909091,0.038211519810488134,0.00152933156359762,0.024040994711661323,0.05824397738180592,0.04507729527272728
cg2658,0.08497871137499999,0.06053997875,0.0746160768125,0.08444358692959629,0.0709539618125,0.0864879553473894,0.0,0.03734205360399512,0.08848236120479401,0.06984502625
cg2659,0.08472944,0.05012119666666666,0.07397633,0.07061072539767474,0.060141761,0.05119526409971728,0.007115103194227179,0.03184908649008046,0.06521068946051874,0.05735511
cg2660,0.030618627250000002,0.01652804175,0.025259010749999998,0.026149846520164267,0.0381375935,0.020088047300989238,0.0,0.015120346651241281,0.034673336225272744,0.01732567625
cg2661,0.051735826666666665,0.03695482,0.048816421666666665,0.052721174999999995,0.053498704166666675,0.04666546104806939,0.0,0.022616530102814246,0.0583341839462947,0.04560080333333333
cg2662,0.049332505000000006,0.0378917125,0.04230887,0.05622961392186674,0.0635000185,0.05305537173364042,0.0,0.022687667551222816,0.06696350280971733,0.05340711
cg2663,0.04811804714285713,0.036128861428571434,0.04330821214285714,0.0488868435807472,0.04673276607142858,0.044927214465884796,0.0,0.019481378515846894,0.05417680556587795,0.039161449999999993
cg2664,0.04392991999999999,0.02414565433333334,0.042189225,0.0424477384407672,0.051519469666666665,0.03651689913430771,0.0,0.019886055280459253,0.049451408173303166,0.03156590333333333
cg2665,0.048793292571428566,0.027963252285714283,0.04634943999999999,0.047159484453734274,0.05060829900000001,0.04277229162460205,0.0,0.02084117237983061,0.045928135695301686,0.04032562742857143
cg2666,0.12585021666666665,0.09635589666666666,0.12304421499999998,0.07144178963078633,0.046227977749999996,0.06161243557408019,0.014705882352941175,0.05485898624386248,0.15920788032967995,0.09321010666666668
cg2667,0.05449430333333333,0.03245847,0.05545473833333334,0.05703674240076742,0.04970801666666667,0.05589012009253125,0.0,0.020831797036879568,0.06130922163824538,0.047570819999999986
cg2668,0.057120564000000006,0.037209007999999995,0.046771965000000006,0.043326241499999994,0.1702336385,0.04066524700985734,0.0,0.022167440397458278,0.0591303426561682,0.034529411999999995
cg2669,0.2500836,0.14242843333333333,0.157619725,0.08927498040804167,0.22465420799999997,0.15152164105954213,0.058481152993348114,0.1657643635473424,0.2707355159213952,0.15620536666666665
cg2670,0.3313230177777778,0.2533996288888889,0.3147789977777778,0.33142279343495806,0.2833940827777778,0.24247707007364466,0.06179203258241059,0.17977194709858563,0.28976366334982645,0.2866932911111111
cg2671,0.07392397666666667,0.056042876666666665,0.07634969333333333,0.07182646704971388,0.09391994799999999,0.04527596520961785,0.10526315789473684,0.030119027183824,0.1459874457524931,0.05340059
cg2672,0.05237842928571429,0.033315045714285715,0.04603829467857143,0.04864033950214908,0.038515246,0.04358983449009794,0.0,0.021416090856704227,0.055876030978025126,0.041610553214285716
cg2673,0.4419723750000001,0.46589425,0.6742938999999999,0.6498335154423905,0.62568842975,0.23671377547732853,0.09873188405797101,0.4505593083055399,0.3810531694885605,0.414860375
cg2674,0.2292691428571429,0.17455498,0.23402265285714288,0.2107840187142857,0.1994994912,0.10527047916938825,0.0,0.20345170373967766,0.16037942495817906,0.1978116914285714
cg2675,0.049822863333333335,0.02629323333333333,0.04707243833333333,0.044198757694282116,0.037378714666666674,0.0383926592687275,0.0,0.020377250412411264,0.0478245206699509,0.03616836666666667
cg2676,0.9103828333333333,0.8975288999999999,0.9202094999999999,0.9274190935540547,0.8702261801666666,0.9411903600489602,0.9594594594594594,0.9708631797101412,0.9385957476379956,0.9172446333333332
cg2677,0.05166615333333333,0.03824174,0.04188506833333333,0.045015913471284474,0.0574406735,0.031648398424566904,0.0,0.015925742786781282,0.0596277356076351,0.03451251666666666
